D_r,D_c,T_r,T_c,S_r,S_c,SMILES
JNK-IN-8,Ruxolitinib,5599,22983;79705;7272;8408;5347;5581;10733;9706;1613;55589;5608;5592;51347;2872;4638;3717;6195;204851;8576;816;4916;4058;818;9201;3716;9475;9344;11213;5979;84254;2868;659;815;57787;1263;81788;131890;3718;51776;817;1859;7297;5261,CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)/C=C/CN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)/C=C/CN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4?N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1
JNK-IN-8,SB-505124,5599,7048;91;1432;7046;8767,CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)/C=C/CN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)/C=C/CN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4?CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4
JNK-IN-8,SF1670,5599,1522;5792,CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)/C=C/CN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4,CC(C)(C)C(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C(=O)C2=O,CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)/C=C/CN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4?CC(C)(C)C(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C(=O)C2=O
JNK-IN-8,Stattic,5599,6097;2475,CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)/C=C/CN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4,C1=CC(=CC2=C1C=CS2(=O)=O)[N+](=O)[O-],CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)/C=C/CN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4?C1=CC(=CC2=C1C=CS2(=O)=O)[N+](=O)[O-]
391210-10-9,BI-D1870,5594;673;5608,1457,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,CC1C(=O)N(C2=CN=C(N=C2N1CCC(C)C)NC3=CC(=C(C(=C3)F)O)F)C,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O?CC1C(=O)N(C2=CN=C(N=C2N1CCC(C)C)NC3=CC(=C(C(=C3)F)O)F)C
391210-10-9,301836-43-1,5594;673;5608,1453;7048;1457,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O?C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5
391210-10-9,GSK2334470,5594;673;5608,5170,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,C[C@@H]1CC[C@@H](CN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)NC)C(=O)NC5CCCCC5,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O?C[C@@H]1CC[C@@H](CN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)NC)C(=O)NC5CCCCC5
391210-10-9,GSK429286A,5594;673;5608,6195;9475,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O?CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F
391210-10-9,JNK-IN-8,5594;673;5608,5599,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)/C=C/CN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O?CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)/C=C/CN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4
391210-10-9,PRT062607,5594;673;5608,7535;57144;8476;3932;6714;4067;2268;51776;6850;7525;2322,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O?C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N
391210-10-9,PI-103,5594;673;5608,5287;5591;204851;5291;2475;5290;57396;5295;5286;79837;1613;5293;5294,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O?C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O
391210-10-9,Toxoflavin,5594;673;5608,7157;9610;3320;6925;22933;2203;1499;6097;472;840;25;7068,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O?CN1C2=NC(=O)N(C(=O)C2=NC=N1)C
391210-10-9,Ruxolitinib,5594;673;5608,22983;79705;7272;8408;5347;5581;10733;9706;1613;55589;5608;5592;51347;2872;4638;3717;6195;204851;8576;816;4916;4058;818;9201;3716;9475;9344;11213;5979;84254;2868;659;815;57787;1263;81788;131890;3718;51776;817;1859;7297;5261,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O?N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1
391210-10-9,SB-505124,5594;673;5608,7048;91;1432;7046;8767,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O?CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4
391210-10-9,SF1670,5594;673;5608,1522;5792,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,CC(C)(C)C(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C(=O)C2=O,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O?CC(C)(C)C(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C(=O)C2=O
391210-10-9,Stattic,5594;673;5608,6097;2475,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,C1=CC(=CC2=C1C=CS2(=O)=O)[N+](=O)[O-],C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O?C1=CC(=CC2=C1C=CS2(=O)=O)[N+](=O)[O-]
PI-103,BI-D1870,5287;5591;204851;5291;2475;5290;57396;5295;5286;79837;1613;5293;5294,1457,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,CC1C(=O)N(C2=CN=C(N=C2N1CCC(C)C)NC3=CC(=C(C(=C3)F)O)F)C,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O?CC1C(=O)N(C2=CN=C(N=C2N1CCC(C)C)NC3=CC(=C(C(=C3)F)O)F)C
PI-103,301836-43-1,5287;5591;204851;5291;2475;5290;57396;5295;5286;79837;1613;5293;5294,1453;7048;1457,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O?C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5
PI-103,GSK2334470,5287;5591;204851;5291;2475;5290;57396;5295;5286;79837;1613;5293;5294,5170,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,C[C@@H]1CC[C@@H](CN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)NC)C(=O)NC5CCCCC5,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O?C[C@@H]1CC[C@@H](CN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)NC)C(=O)NC5CCCCC5
PI-103,GSK429286A,5287;5591;204851;5291;2475;5290;57396;5295;5286;79837;1613;5293;5294,6195;9475,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O?CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F
PI-103,JNK-IN-8,5287;5591;204851;5291;2475;5290;57396;5295;5286;79837;1613;5293;5294,5599,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)/C=C/CN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O?CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)/C=C/CN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4
PI-103,PRT062607,5287;5591;204851;5291;2475;5290;57396;5295;5286;79837;1613;5293;5294,7535;57144;8476;3932;6714;4067;2268;51776;6850;7525;2322,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O?C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N
PI-103,Toxoflavin,5287;5591;204851;5291;2475;5290;57396;5295;5286;79837;1613;5293;5294,7157;9610;3320;6925;22933;2203;1499;6097;472;840;25;7068,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O?CN1C2=NC(=O)N(C(=O)C2=NC=N1)C
PI-103,Ruxolitinib,5287;5591;204851;5291;2475;5290;57396;5295;5286;79837;1613;5293;5294,22983;79705;7272;8408;5347;5581;10733;9706;1613;55589;5608;5592;51347;2872;4638;3717;6195;204851;8576;816;4916;4058;818;9201;3716;9475;9344;11213;5979;84254;2868;659;815;57787;1263;81788;131890;3718;51776;817;1859;7297;5261,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O?N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1
PI-103,SB-505124,5287;5591;204851;5291;2475;5290;57396;5295;5286;79837;1613;5293;5294,7048;91;1432;7046;8767,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O?CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4
PI-103,SF1670,5287;5591;204851;5291;2475;5290;57396;5295;5286;79837;1613;5293;5294,1522;5792,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,CC(C)(C)C(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C(=O)C2=O,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O?CC(C)(C)C(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C(=O)C2=O
PI-103,Stattic,5287;5591;204851;5291;2475;5290;57396;5295;5286;79837;1613;5293;5294,6097;2475,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,C1=CC(=CC2=C1C=CS2(=O)=O)[N+](=O)[O-],C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O?C1=CC(=CC2=C1C=CS2(=O)=O)[N+](=O)[O-]
Toxoflavin,BI-D1870,7157;9610;3320;6925;22933;2203;1499;6097;472;840;25;7068,1457,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C,CC1C(=O)N(C2=CN=C(N=C2N1CCC(C)C)NC3=CC(=C(C(=C3)F)O)F)C,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C?CC1C(=O)N(C2=CN=C(N=C2N1CCC(C)C)NC3=CC(=C(C(=C3)F)O)F)C
Toxoflavin,301836-43-1,7157;9610;3320;6925;22933;2203;1499;6097;472;840;25;7068,1453;7048;1457,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C,C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C?C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5
Toxoflavin,GSK2334470,7157;9610;3320;6925;22933;2203;1499;6097;472;840;25;7068,5170,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C,C[C@@H]1CC[C@@H](CN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)NC)C(=O)NC5CCCCC5,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C?C[C@@H]1CC[C@@H](CN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)NC)C(=O)NC5CCCCC5
Toxoflavin,GSK429286A,7157;9610;3320;6925;22933;2203;1499;6097;472;840;25;7068,6195;9475,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C,CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C?CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F
Toxoflavin,JNK-IN-8,7157;9610;3320;6925;22933;2203;1499;6097;472;840;25;7068,5599,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C,CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)/C=C/CN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C?CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)NC(=O)/C=C/CN(C)C)NC3=NC=CC(=N3)C4=CN=CC=C4
Toxoflavin,PRT062607,7157;9610;3320;6925;22933;2203;1499;6097;472;840;25;7068,7535;57144;8476;3932;6714;4067;2268;51776;6850;7525;2322,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C,C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C?C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N
Toxoflavin,Ruxolitinib,7157;9610;3320;6925;22933;2203;1499;6097;472;840;25;7068,22983;79705;7272;8408;5347;5581;10733;9706;1613;55589;5608;5592;51347;2872;4638;3717;6195;204851;8576;816;4916;4058;818;9201;3716;9475;9344;11213;5979;84254;2868;659;815;57787;1263;81788;131890;3718;51776;817;1859;7297;5261,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C?N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1
Toxoflavin,SB-505124,7157;9610;3320;6925;22933;2203;1499;6097;472;840;25;7068,7048;91;1432;7046;8767,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C?CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4
Toxoflavin,SF1670,7157;9610;3320;6925;22933;2203;1499;6097;472;840;25;7068,1522;5792,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C,CC(C)(C)C(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C(=O)C2=O,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C?CC(C)(C)C(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C(=O)C2=O
Toxoflavin,Stattic,7157;9610;3320;6925;22933;2203;1499;6097;472;840;25;7068,6097;2475,CN1C2=NC(=O)N(C(=O)C2=NC=N1)C,C1=CC(=CC2=C1C=CS2(=O)=O)[N+](=O)[O-],CN1C2=NC(=O)N(C(=O)C2=NC=N1)C?C1=CC(=CC2=C1C=CS2(=O)=O)[N+](=O)[O-]
Ruxolitinib,301836-43-1,22983;79705;7272;8408;5347;5581;10733;9706;1613;55589;5608;5592;51347;2872;4638;3717;6195;204851;8576;816;4916;4058;818;9201;3716;9475;9344;11213;5979;84254;2868;659;815;57787;1263;81788;131890;3718;51776;817;1859;7297;5261,1453;7048;1457,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1?C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5
Ruxolitinib,GSK2334470,22983;79705;7272;8408;5347;5581;10733;9706;1613;55589;5608;5592;51347;2872;4638;3717;6195;204851;8576;816;4916;4058;818;9201;3716;9475;9344;11213;5979;84254;2868;659;815;57787;1263;81788;131890;3718;51776;817;1859;7297;5261,5170,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,C[C@@H]1CC[C@@H](CN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)NC)C(=O)NC5CCCCC5,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1?C[C@@H]1CC[C@@H](CN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)NC)C(=O)NC5CCCCC5
Ruxolitinib,GSK429286A,22983;79705;7272;8408;5347;5581;10733;9706;1613;55589;5608;5592;51347;2872;4638;3717;6195;204851;8576;816;4916;4058;818;9201;3716;9475;9344;11213;5979;84254;2868;659;815;57787;1263;81788;131890;3718;51776;817;1859;7297;5261,6195;9475,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1?CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F
Ruxolitinib,PRT062607,22983;79705;7272;8408;5347;5581;10733;9706;1613;55589;5608;5592;51347;2872;4638;3717;6195;204851;8576;816;4916;4058;818;9201;3716;9475;9344;11213;5979;84254;2868;659;815;57787;1263;81788;131890;3718;51776;817;1859;7297;5261,7535;57144;8476;3932;6714;4067;2268;51776;6850;7525;2322,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1?C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N
Ruxolitinib,SF1670,22983;79705;7272;8408;5347;5581;10733;9706;1613;55589;5608;5592;51347;2872;4638;3717;6195;204851;8576;816;4916;4058;818;9201;3716;9475;9344;11213;5979;84254;2868;659;815;57787;1263;81788;131890;3718;51776;817;1859;7297;5261,1522;5792,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,CC(C)(C)C(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C(=O)C2=O,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1?CC(C)(C)C(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C(=O)C2=O
Ruxolitinib,Stattic,22983;79705;7272;8408;5347;5581;10733;9706;1613;55589;5608;5592;51347;2872;4638;3717;6195;204851;8576;816;4916;4058;818;9201;3716;9475;9344;11213;5979;84254;2868;659;815;57787;1263;81788;131890;3718;51776;817;1859;7297;5261,6097;2475,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,C1=CC(=CC2=C1C=CS2(=O)=O)[N+](=O)[O-],N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1?C1=CC(=CC2=C1C=CS2(=O)=O)[N+](=O)[O-]
SB-505124,301836-43-1,7048;91;1432;7046;8767,1453;7048;1457,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4?C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5
SB-505124,GSK2334470,7048;91;1432;7046;8767,5170,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,C[C@@H]1CC[C@@H](CN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)NC)C(=O)NC5CCCCC5,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4?C[C@@H]1CC[C@@H](CN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)NC)C(=O)NC5CCCCC5
SB-505124,GSK429286A,7048;91;1432;7046;8767,6195;9475,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4?CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F
SB-505124,PRT062607,7048;91;1432;7046;8767,7535;57144;8476;3932;6714;4067;2268;51776;6850;7525;2322,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4?C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N
SB-505124,Ruxolitinib,7048;91;1432;7046;8767,22983;79705;7272;8408;5347;5581;10733;9706;1613;55589;5608;5592;51347;2872;4638;3717;6195;204851;8576;816;4916;4058;818;9201;3716;9475;9344;11213;5979;84254;2868;659;815;57787;1263;81788;131890;3718;51776;817;1859;7297;5261,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4?N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1
SB-505124,SF1670,7048;91;1432;7046;8767,1522;5792,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,CC(C)(C)C(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C(=O)C2=O,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4?CC(C)(C)C(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C(=O)C2=O
